RK ,PLAYER                       ,TEAM   ,REC,TAR,YDS    ,AVG ,TD,LONG,20+,YDS/G,FUM,YAC,1DN
1  ,"Antonio Brown, WR          ",PIT    ,129,182,"1,698",13.2,13,63  ,19 ,106.1,1  ,568,85 
2  ,"Demaryius Thomas, WR       ",DEN    ,111,184,"1,619",14.6,11,86  ,25 ,101.2,0  ,647,69 
3  ,"Julio Jones, WR            ",ATL    ,104,164,"1,593",15.3,6 ,79  ,31 ,106.2,2  ,553,76 
4  ,"Jordy Nelson, WR           ",GB     ,98 ,151,"1,519",15.5,13,80  ,19 ,94.9 ,0  ,481,71 
5  ,"Emmanuel Sanders, WR       ",DEN    ,101,141,"1,404",13.9,9 ,48  ,24 ,87.8 ,1  ,370,69 
6  ,"T.Y. Hilton, WR            ",IND    ,82 ,130,"1,345",16.4,7 ,73  ,21 ,89.7 ,3  ,372,62 
7  ,"Golden Tate, WR            ",DET    ,99 ,142,"1,331",13.4,4 ,73  ,17 ,83.2 ,1  ,691,58 
8  ,"Dez Bryant, WR             ",DAL    ,88 ,138,"1,320",15.0,16,68  ,22 ,82.5 ,0  ,352,60 
9  ,"Jeremy Maclin, WR          ",PHI    ,85 ,143,"1,318",15.5,10,72  ,21 ,82.4 ,0  ,489,56 
10 ,"Odell Beckham Jr., WR      ",NYG    ,91 ,132,"1,305",14.3,12,80  ,16 ,108.8,0  ,427,57 
11 ,"Randall Cobb, WR           ",GB     ,91 ,126,"1,287",14.1,12,70  ,24 ,80.4 ,1  ,556,71 
12 ,"DeAndre Hopkins, WR        ",HOU    ,76 ,127,"1,210",15.9,6 ,76  ,20 ,75.6 ,2  ,383,57 
13 ,"DeSean Jackson, WR         ",WSH    ,56 ,94 ,"1,169",20.9,6 ,81  ,16 ,77.9 ,0  ,393,35 
14 ,"Alshon Jeffery, WR         ",CHI    ,85 ,145,"1,133",13.3,10,74  ,17 ,70.8 ,0  ,473,60 
15 ,"Rob Gronkowski, TE         ",NE     ,82 ,130,"1,124",13.7,12,46  ,19 ,74.9 ,0  ,475,60 
16 ,"Calvin Johnson, WR         ",DET    ,71 ,128,"1,077",15.2,8 ,67  ,16 ,82.8 ,0  ,244,59 
17 ,"Steve Smith Sr., WR        ",BAL    ,79 ,133,"1,065",13.5,6 ,80  ,15 ,66.6 ,1  ,343,45 
18 ,"Anquan Boldin, WR          ",SF     ,83 ,130,"1,062",12.8,5 ,76  ,14 ,66.4 ,0  ,351,56 
19 ,"Mike Evans, WR             ",TB     ,68 ,124,"1,051",15.5,12,56  ,20 ,70.1 ,0  ,179,46 
20 ,"A.J. Green, WR             ",CIN    ,69 ,116,"1,041",15.1,6 ,81  ,13 ,80.1 ,2  ,298,46 
21 ,"Greg Olsen, TE             ",CAR    ,84 ,122,"1,008",12.0,6 ,38  ,9  ,63.0 ,1  ,365,56 
23 ,"Vincent Jackson, WR        ",TB     ,70 ,143,"1,002",14.3,2 ,50  ,12 ,62.6 ,1  ,164,50 
24 ,"Sammy Watkins, WR          ",BUF    ,65 ,128,982    ,15.1,6 ,84  ,14 ,61.4 ,1  ,310,47 
25 ,"Julian Edelman, WR         ",NE     ,92 ,135,972    ,10.6,4 ,69  ,7  ,69.4 ,2  ,448,49 
26 ,"Eric Decker, WR            ",NYJ    ,74 ,115,962    ,13.0,5 ,74  ,12 ,64.1 ,0  ,252,47 
27 ,"Brandon LaFell, WR         ",NE     ,74 ,119,953    ,12.9,7 ,56  ,10 ,59.6 ,1  ,356,50 
28 ,"Rueben Randle, WR          ",NYG    ,71 ,127,938    ,13.2,3 ,49  ,12 ,58.6 ,0  ,200,48 
29 ,"Andre Johnson, WR          ",HOU    ,85 ,147,936    ,11.0,3 ,35  ,14 ,62.4 ,3  ,330,49 
30 ,"Kenny Stills, WR           ",NO     ,63 ,85 ,931    ,14.8,3 ,69  ,10 ,62.1 ,1  ,178,47 
31 ,"Roddy White, WR            ",ATL    ,80 ,122,921    ,11.5,7 ,39  ,14 ,65.8 ,3  ,158,54 
32 ,"Martellus Bennett, TE      ",CHI    ,90 ,129,916    ,10.2,6 ,37  ,11 ,57.3 ,0  ,449,43 
33 ,"Marques Colston, WR        ",NO     ,59 ,99 ,902    ,15.3,5 ,57  ,17 ,56.4 ,1  ,274,45 
34 ,"Delanie Walker, TE         ",TEN    ,63 ,108,890    ,14.1,4 ,68  ,13 ,59.3 ,2  ,355,33 
35 ,"Jimmy Graham, TE           ",NO     ,85 ,124,889    ,10.5,10,29  ,8  ,55.6 ,2  ,275,54 
36 ,"Jordan Matthews, WR        ",PHI    ,67 ,105,872    ,13.0,8 ,44  ,16 ,54.5 ,0  ,350,42 
37 ,"Mike Wallace, WR           ",MIA    ,67 ,115,862    ,12.9,10,50  ,10 ,53.9 ,1  ,251,47 
39 ,"Malcom Floyd, WR           ",SD     ,52 ,92 ,856    ,16.5,6 ,59  ,13 ,53.5 ,0  ,146,39 
40 ,"Le'Veon Bell, RB           ",PIT    ,83 ,105,854    ,10.3,3 ,48  ,10 ,53.4 ,0  ,723,41 
41 ,"Michael Floyd, WR          ",ARI    ,47 ,99 ,841    ,17.9,6 ,63  ,15 ,52.6 ,3  ,110,34 
42 ,"Doug Baldwin, WR           ",SEA    ,66 ,98 ,825    ,12.5,3 ,49  ,15 ,51.6 ,0  ,314,42 
43 ,"Andrew Hawkins, WR         ",CLE    ,63 ,113,824    ,13.1,2 ,65  ,13 ,54.9 ,0  ,364,44 
44 ,"Antonio Gates, TE          ",SD     ,69 ,99 ,821    ,11.9,12,34  ,12 ,51.3 ,1  ,250,44 
45 ,"Matt Forte, RB             ",CHI    ,102,130,808    ,7.9 ,4 ,56  ,7  ,50.5 ,1  ,771,28 
46 ,"Mohamed Sanu, WR           ",CIN    ,56 ,98 ,790    ,14.1,5 ,76  ,9  ,49.4 ,0  ,337,37 
47 ,"Larry Fitzgerald, WR       ",ARI    ,63 ,103,784    ,12.4,2 ,80  ,11 ,56.0 ,1  ,331,39 
48 ,"Keenan Allen, WR           ",SD     ,77 ,121,783    ,10.2,4 ,35  ,6  ,55.9 ,1  ,319,41 
49 ,"Reggie Wayne, WR           ",IND    ,64 ,116,779    ,12.2,2 ,80  ,10 ,51.9 ,1  ,213,40 
50 ,"Eddie Royal, WR            ",SD     ,62 ,91 ,778    ,12.5,7 ,47  ,14 ,48.6 ,1  ,335,39 
51 ,"Coby Fleener, TE           ",IND    ,51 ,92 ,774    ,15.2,8 ,73  ,16 ,48.4 ,0  ,285,40 
52 ,"Torrey Smith, WR           ",BAL    ,49 ,93 ,767    ,15.7,11,53  ,13 ,47.9 ,0  ,163,38 
53 ,"Heath Miller, TE           ",PIT    ,66 ,88 ,761    ,11.5,3 ,49  ,8  ,47.6 ,1  ,338,42 
54 ,"Jarvis Landry, WR          ",MIA    ,84 ,111,758    ,9.0 ,5 ,25  ,6  ,47.4 ,1  ,443,48 
55 ,"Dwayne Bowe, WR            ",KC     ,60 ,96 ,754    ,12.6,0 ,37  ,9  ,50.3 ,2  ,237,42 
56 ,"Pierre Garcon, WR          ",WSH    ,68 ,105,752    ,11.1,3 ,70  ,8  ,47.0 ,0  ,293,32 
57 ,"Kenny Britt, WR            ",STL    ,48 ,84 ,748    ,15.6,3 ,63  ,13 ,46.8 ,0  ,165,33 
58 ,"Greg Jennings, WR          ",MIN    ,59 ,92 ,742    ,12.6,6 ,38  ,9  ,46.4 ,1  ,195,40 
59 ,"Brandon Marshall, WR       ",CHI    ,61 ,105,721    ,11.8,8 ,47  ,5  ,55.5 ,1  ,233,41 
60 ,"Kendall Wright, WR         ",TEN    ,57 ,93 ,715    ,12.5,6 ,48  ,10 ,51.1 ,1  ,362,33 
61 ,"Jason Witten, TE           ",DAL    ,64 ,90 ,703    ,11.0,5 ,34  ,7  ,43.9 ,0  ,213,48 
62 ,"Zach Ertz, TE              ",PHI    ,58 ,86 ,702    ,12.1,3 ,35  ,9  ,43.9 ,1  ,233,42 
63 ,"Robert Woods, WR           ",BUF    ,65 ,104,699    ,10.8,5 ,37  ,11 ,43.7 ,1  ,205,35 
64 ,"Michael Crabtree, WR       ",SF     ,68 ,108,698    ,10.3,4 ,51  ,10 ,43.6 ,0  ,256,35 
65 ,"John Brown, WR             ",ARI    ,48 ,103,696    ,14.5,5 ,75  ,11 ,43.5 ,0  ,187,31 
66 ,"Andre Holmes, WR           ",OAK    ,47 ,98 ,693    ,14.7,4 ,77  ,9  ,43.3 ,0  ,198,32 
67 ,"Allen Hurns, WR            ",JAX    ,51 ,97 ,677    ,13.3,6 ,63  ,11 ,42.3 ,0  ,217,26 
68 ,"James Jones, WR            ",OAK    ,73 ,111,666    ,9.1 ,6 ,42  ,6  ,41.6 ,3  ,227,40 
69 ,"Nate Washington, WR        ",TEN    ,40 ,72 ,647    ,16.2,2 ,80  ,11 ,40.4 ,0  ,148,26 
70 ,"Markus Wheaton, WR         ",PIT    ,53 ,87 ,644    ,12.2,2 ,47  ,5  ,40.3 ,0  ,161,33 
71 ,"Jared Cook, TE             ",STL    ,52 ,98 ,634    ,12.2,3 ,59  ,7  ,39.6 ,0  ,245,32 
72 ,"Larry Donnell, TE          ",NYG    ,63 ,92 ,623    ,9.9 ,6 ,32  ,5  ,38.9 ,4  ,207,36 
73 ,"Terrance Williams, WR      ",DAL    ,37 ,64 ,621    ,16.8,8 ,51  ,10 ,38.8 ,0  ,99 ,30 
75 ,"Charles Clay, TE           ",MIA    ,58 ,84 ,605    ,10.4,3 ,41  ,9  ,43.2 ,0  ,258,31 
76 ,"Jarius Wright, WR          ",MIN    ,42 ,62 ,588    ,14.0,2 ,87  ,9  ,36.8 ,0  ,333,25 
77 ,"Jerricho Cotchery, WR      ",CAR    ,48 ,78 ,580    ,12.1,1 ,47  ,7  ,38.7 ,0  ,200,30 
78 ,"Riley Cooper, WR           ",PHI    ,55 ,95 ,577    ,10.5,3 ,50  ,5  ,36.1 ,1  ,157,25 
79 ,"Miles Austin, WR           ",CLE    ,47 ,70 ,568    ,12.1,2 ,31  ,7  ,47.3 ,0  ,213,34 
80 ,"Cecil Shorts III, WR       ",JAX    ,53 ,110,557    ,10.5,1 ,53  ,7  ,42.8 ,1  ,253,26 
81 ,"Harry Douglas, WR          ",ATL    ,51 ,75 ,556    ,10.9,2 ,41  ,3  ,46.3 ,0  ,230,28 
82 ,"Brandin Cooks, WR          ",NO     ,53 ,70 ,550    ,10.4,3 ,50  ,4  ,55.0 ,0  ,174,25 
83 ,"Martavis Bryant, WR        ",PIT    ,26 ,49 ,549    ,21.1,8 ,94  ,8  ,54.9 ,0  ,164,16 
84 ,"Allen Robinson, WR         ",JAX    ,48 ,81 ,548    ,11.4,2 ,54  ,5  ,54.8 ,0  ,160,26 
85 ,"Jermaine Kearse, WR        ",SEA    ,38 ,67 ,537    ,14.1,1 ,60  ,7  ,35.8 ,0  ,238,21 
86 ,"Mychal Rivera, TE          ",OAK    ,58 ,101,534    ,9.2 ,4 ,33  ,6  ,33.4 ,3  ,186,29 
87 ,"Owen Daniels, TE           ",BAL    ,48 ,79 ,527    ,11.0,4 ,39  ,5  ,35.1 ,0  ,160,32 
88 ,"Niles Paul, TE             ",WSH    ,39 ,52 ,507    ,13.0,1 ,50  ,7  ,31.7 ,1  ,252,20 
89 ,"Devin Hester, WR           ",ATL    ,38 ,59 ,504    ,13.3,2 ,46  ,7  ,31.5 ,1  ,254,21 
90 ,"Fred Jackson, RB           ",BUF    ,66 ,90 ,501    ,7.6 ,1 ,34  ,6  ,35.8 ,3  ,593,25 
91 ,"Justin Hunter, WR          ",TEN    ,28 ,68 ,498    ,17.8,3 ,75  ,7  ,41.5 ,0  ,185,20 
92 ,"Scott Chandler, TE         ",BUF    ,47 ,70 ,497    ,10.6,3 ,37  ,9  ,31.1 ,0  ,191,28 
93 ,"Julius Thomas, TE          ",DEN    ,43 ,60 ,489    ,11.4,12,35  ,7  ,37.6 ,1  ,181,30 
94 ,"Roy Helu, RB               ",WSH    ,42 ,47 ,477    ,11.4,2 ,55  ,10 ,34.1 ,2  ,449,16 
95 ,"Charles Johnson, WR        ",MIN    ,31 ,58 ,475    ,15.3,2 ,56  ,9  ,39.6 ,1  ,163,19 
96 ,"Brian Hartline, WR         ",MIA    ,39 ,63 ,474    ,12.2,2 ,35  ,4  ,29.6 ,1  ,139,27 
97 ,"Jordan Reed, TE            ",WSH    ,50 ,65 ,465    ,9.3 ,0 ,30  ,4  ,42.3 ,1  ,223,23 
98 ,"Wes Welker, WR             ",DEN    ,49 ,64 ,464    ,9.5 ,2 ,39  ,5  ,33.1 ,0  ,170,24 
99 ,"Jermaine Gresham, TE       ",CIN    ,62 ,79 ,460    ,7.4 ,5 ,23  ,2  ,30.7 ,3  ,254,24 
100,"Andre Roberts, WR          ",WSH    ,36 ,72 ,453    ,12.6,2 ,61  ,7  ,28.3 ,1  ,205,28 
101,"Shane Vereen, RB           ",NE     ,52 ,77 ,447    ,8.6 ,3 ,49  ,4  ,27.9 ,0  ,391,24 
102,"Davante Adams, WR          ",GB     ,38 ,66 ,446    ,11.7,3 ,45  ,5  ,27.9 ,0  ,183,23 
103,"Donte Moncrief, WR         ",IND    ,32 ,49 ,444    ,13.9,3 ,79  ,7  ,27.8 ,0  ,203,15 
104,"Stevie Johnson, WR         ",SF     ,35 ,50 ,435    ,12.4,3 ,32  ,8  ,33.5 ,0  ,186,24 
106,"Eddie Lacy, RB             ",GB     ,42 ,55 ,427    ,10.2,4 ,67  ,4  ,26.7 ,0  ,433,17 
107,"Chris Hogan, WR            ",BUF    ,41 ,61 ,426    ,10.4,4 ,31  ,5  ,26.6 ,2  ,193,20 
108,"Jordan Cameron, TE         ",CLE    ,24 ,48 ,424    ,17.7,2 ,81  ,8  ,42.4 ,0  ,159,13 
109,"Marqise Lee, WR            ",JAX    ,37 ,68 ,422    ,11.4,1 ,37  ,6  ,32.5 ,0  ,170,20 
110,"Cole Beasley, WR           ",DAL    ,37 ,49 ,420    ,11.4,4 ,45  ,4  ,26.3 ,2  ,208,26 
111,"Preston Parker, WR         ",NYG    ,36 ,57 ,418    ,11.6,2 ,42  ,4  ,26.1 ,0  ,112,25 
112,"DeMarco Murray, RB         ",DAL    ,57 ,64 ,416    ,7.3 ,0 ,34  ,3  ,26.0 ,2  ,474,16 
113,"Jeremy Kerley, WR          ",NYJ    ,38 ,75 ,409    ,10.8,1 ,33  ,3  ,25.6 ,0  ,136,20 
114,"Hakeem Nicks, WR           ",IND    ,38 ,70 ,405    ,10.7,4 ,29  ,7  ,25.3 ,0  ,123,18 
115,"Dwayne Allen, TE           ",IND    ,29 ,50 ,395    ,13.6,8 ,41  ,6  ,30.4 ,1  ,168,24 
117,"Darren Sproles, RB         ",PHI    ,40 ,63 ,387    ,9.7 ,0 ,57  ,4  ,25.8 ,0  ,396,17 
118,"Cordarrelle Patterson, WR  ",MIN    ,33 ,67 ,384    ,11.6,1 ,28  ,4  ,24.0 ,0  ,168,20 
119,"Louis Murphy, WR           ",TB     ,31 ,57 ,380    ,12.3,2 ,54  ,6  ,34.5 ,1  ,130,14 
120,"Pierre Thomas, RB          ",NO     ,45 ,55 ,378    ,8.4 ,1 ,39  ,2  ,34.4 ,0  ,432,19 
121,"Brian Quick, WR            ",STL    ,25 ,39 ,375    ,15.0,3 ,51  ,5  ,53.6 ,0  ,79 ,19 
122,"Marshawn Lynch, RB         ",SEA    ,37 ,48 ,367    ,9.9 ,4 ,39  ,5  ,22.9 ,2  ,373,16 
123,"Luke Willson, TE           ",SEA    ,22 ,40 ,362    ,16.5,3 ,80  ,7  ,24.1 ,0  ,220,14 
124,"Benjamin Cunningham, RB    ",STL    ,45 ,54 ,352    ,7.8 ,1 ,19  ,0  ,22.0 ,1  ,277,21 
